TransactionID,CustomerID,TransactionDate,Product,Quantity,UnitPrice,TotalAmount,Country
5500,330,2024-01-01,Health,2,67.09,134.18,Germany
6135,440,2024-01-01,Automotive,4,31.01,124.05,USA
5684,358,2024-01-01,Electronics,5,24.96,124.82,USA
5832,381,2024-01-01,Automotive,4,20.71,82.86,USA
6210,465,2024-01-01,Toys,3,27.39,82.16,Canada
5858,385,2024-01-02,Clothing,5,10.63,53.13,Canada
5718,364,2024-01-02,Clothing,3,17.58,52.75,USA
5554,338,2024-01-02,Beauty,2,11.31,22.63,USA
5487,328,2024-01-02,Sports,2,46.86,93.72,USA
6049,417,2024-01-02,Books,2,64.53,129.06,USA
5745,367,2024-01-02,Food & Beverage,3,53.11,159.32,USA
5877,388,2024-01-03,Toys,1,79.2,79.2,USA
6305,497,2024-01-03,Home & Garden,2,6.38,12.76,USA
5605,347,2024-01-03,Beauty,1,106.85,106.85,France
5948,399,2024-01-04,Sports,2,67.32,134.65,USA
6284,490,2024-01-04,Toys,1,239.09,239.09,USA
5671,357,2024-01-05,Toys,1,134.35,134.35,UK
6265,485,2024-01-05,Health,5,16.35,81.73,USA
6297,494,2024-01-05,Toys,3,33.31,99.93,UK
5779,373,2024-01-06,Home & Garden,5,23.97,119.85,UK
5748,368,2024-01-07,Health,1,64.44,64.44,USA
5763,371,2024-01-07,Food & Beverage,4,39.11,156.45,USA
5978,404,2024-01-08,Clothing,1,74.88,74.88,UK
6078,423,2024-01-08,Beauty,5,19.16,95.8,Canada
5830,381,2024-01-08,Health,1,131.91,131.91,Canada
5683,358,2024-01-08,Beauty,1,61.67,61.67,UK
5886,389,2024-01-09,Toys,4,23.42,93.7,UK
5934,397,2024-01-09,Electronics,1,82.59,82.59,UK
6218,468,2024-01-09,Books,3,24.64,73.91,USA
6283,490,2024-01-09,Home & Garden,2,26.97,53.93,USA
5627,350,2024-01-09,Toys,4,8.59,34.34,UK
5734,366,2024-01-09,Home & Garden,5,21.07,105.36,UK
6006,409,2024-01-10,Sports,3,29.9,89.7,France
5813,378,2024-01-10,Books,4,24.09,96.36,UK
5480,326,2024-01-10,Food & Beverage,3,9.7,29.11,USA
5729,366,2024-01-11,Toys,5,10.27,51.33,USA
6189,459,2024-01-11,Clothing,5,9.91,49.54,Germany
5791,375,2024-01-11,Beauty,3,5.01,15.03,USA
6216,467,2024-01-12,Health,1,197.95,197.95,Canada
5721,364,2024-01-12,Food & Beverage,2,26.1,52.19,Canada
5931,397,2024-01-12,Automotive,5,20.25,101.25,UK
5602,346,2024-01-12,Automotive,3,54.47,163.42,Germany
5576,341,2024-01-13,Books,3,31.58,94.73,USA
6233,473,2024-01-13,Automotive,2,138.42,276.84,France
6269,487,2024-01-13,Clothing,4,31.9,127.6,USA
5927,396,2024-01-13,Automotive,3,32.16,96.47,Germany
5731,366,2024-01-13,Home & Garden,3,12.01,36.03,Germany
6115,434,2024-01-14,Home & Garden,2,54.14,108.29,USA
6226,471,2024-01-15,Electronics,5,57.19,285.93,USA
5525,334,2024-01-15,Automotive,2,44.3,88.61,Germany
5993,406,2024-01-15,Clothing,4,25.76,103.05,Canada
6136,440,2024-01-15,Home & Garden,5,20.78,103.88,USA
6165,449,2024-01-15,Books,2,115.47,230.94,France
5567,340,2024-01-15,Sports,5,18.52,92.59,USA
5815,379,2024-01-16,Automotive,1,63.57,63.57,UK
5914,395,2024-01-16,Automotive,1,46.01,46.01,UK
5926,396,2024-01-16,Health,4,5.38,21.53,USA
5502,331,2024-01-17,Beauty,4,17.91,71.64,USA
5871,387,2024-01-17,Electronics,4,31.95,127.78,UK
6063,420,2024-01-17,Automotive,1,42.39,42.39,Germany
6023,412,2024-01-17,Sports,1,35.67,35.67,UK
5736,366,2024-01-17,Clothing,2,47.28,94.56,USA
6126,437,2024-01-17,Home & Garden,5,41.39,206.95,USA
6237,474,2024-01-18,Sports,4,53.76,215.03,Germany
5492,329,2024-01-18,Automotive,2,65.32,130.64,USA
5585,343,2024-01-18,Toys,4,21.17,84.69,Canada
5990,406,2024-01-18,Automotive,4,30.92,123.68,UK
6245,476,2024-01-19,Food & Beverage,2,57.76,115.51,Canada
5591,344,2024-01-19,Health,4,21.15,84.58,France
6215,466,2024-01-19,Clothing,1,219.0,219.0,USA
5590,344,2024-01-20,Home & Garden,1,110.58,110.58,UK
5706,361,2024-01-20,Sports,1,62.19,62.19,UK
5958,401,2024-01-20,Clothing,4,40.16,160.64,Canada
5851,384,2024-01-20,Health,3,27.96,83.88,UK
6185,457,2024-01-20,Food & Beverage,4,11.24,44.95,USA
6004,409,2024-01-21,Electronics,2,21.57,43.13,UK
6131,439,2024-01-21,Automotive,2,135.26,270.52,USA
5850,384,2024-01-21,Beauty,1,28.03,28.03,UK
5912,394,2024-01-22,Sports,3,15.29,45.87,USA
5752,369,2024-01-22,Automotive,3,37.19,111.57,France
6036,415,2024-01-23,Automotive,1,73.74,73.74,UK
6227,471,2024-01-23,Health,2,67.45,134.89,UK
6201,462,2024-01-23,Automotive,4,41.96,167.84,USA
6278,489,2024-01-23,Books,4,45.44,181.75,Canada
5690,359,2024-01-23,Beauty,3,5.24,15.73,UK
6138,441,2024-01-24,Books,3,28.65,85.94,France
5597,345,2024-01-25,Automotive,4,35.69,142.75,USA
5810,378,2024-01-25,Sports,2,19.33,38.65,UK
5560,339,2024-01-25,Clothing,2,75.18,150.36,USA
5688,359,2024-01-26,Beauty,5,14.83,74.16,USA
6193,460,2024-01-26,Electronics,4,44.38,177.54,Germany
6167,450,2024-01-26,Automotive,3,43.05,129.16,USA
6080,423,2024-01-26,Books,5,3.68,18.4,Germany
6177,452,2024-01-26,Sports,1,135.21,135.21,Canada
6034,414,2024-01-26,Books,2,34.85,69.71,UK
6037,415,2024-01-27,Toys,2,38.43,76.85,USA
5964,402,2024-01-27,Food & Beverage,1,117.55,117.55,Germany
5692,359,2024-01-28,Food & Beverage,2,66.75,133.5,USA
5488,328,2024-01-28,Toys,3,16.62,49.85,USA
5615,348,2024-01-28,Health,2,48.01,96.01,UK
5504,331,2024-01-29,Food & Beverage,4,39.53,158.14,USA
5747,368,2024-01-30,Books,2,68.34,136.67,UK
5624,349,2024-01-30,Beauty,3,54.1,162.31,UK
5678,357,2024-01-30,Health,3,19.43,58.29,USA
5711,362,2024-01-30,Food & Beverage,4,10.64,42.57,USA
5889,390,2024-01-31,Sports,1,140.4,140.4,UK
5840,382,2024-01-31,Beauty,5,13.17,65.85,France
6242,475,2024-01-31,Health,5,17.02,85.1,Germany
6079,423,2024-01-31,Toys,5,18.7,93.51,UK
5802,376,2024-01-31,Home & Garden,1,56.89,56.89,UK
6157,446,2024-02-01,Toys,4,64.48,257.91,UK
5822,380,2024-02-01,Food & Beverage,2,5.56,11.11,UK
6172,451,2024-02-01,Automotive,2,70.85,141.69,Germany
6308,499,2024-02-02,Electronics,2,20.79,41.58,Germany
6084,425,2024-02-03,Automotive,5,25.76,128.81,UK
5498,330,2024-02-04,Health,1,146.11,146.11,UK
6188,459,2024-02-04,Beauty,4,12.16,48.64,USA
6232,472,2024-02-04,Beauty,5,27.43,137.15,Canada
6204,463,2024-02-04,Beauty,3,59.38,178.15,Canada
5957,401,2024-02-04,Toys,3,54.81,164.42,Canada
5953,400,2024-02-05,Food & Beverage,5,31.42,157.09,Canada
6225,471,2024-02-05,Electronics,3,67.68,203.04,UK
5826,381,2024-02-06,Automotive,4,26.02,104.08,USA
6206,464,2024-02-06,Toys,5,29.73,148.64,Canada
6275,488,2024-02-06,Toys,1,181.49,181.49,USA
5991,406,2024-02-06,Health,2,55.68,111.37,UK
5793,375,2024-02-07,Sports,2,60.92,121.84,UK
5880,388,2024-02-07,Sports,4,8.91,35.63,UK
5860,385,2024-02-07,Automotive,2,18.56,37.11,USA
6212,465,2024-02-08,Books,2,20.41,40.82,USA
5530,334,2024-02-08,Electronics,1,48.39,48.39,USA
5728,366,2024-02-08,Electronics,1,51.56,51.56,UK
5727,365,2024-02-08,Beauty,5,11.78,58.91,USA
5809,378,2024-02-08,Food & Beverage,4,12.59,50.37,Germany
5907,393,2024-02-09,Home & Garden,2,57.82,115.65,Canada
6116,434,2024-02-10,Sports,2,34.79,69.58,Canada
6150,444,2024-02-10,Sports,1,132.84,132.84,France
5841,382,2024-02-10,Home & Garden,2,10.14,20.29,USA
5682,358,2024-02-10,Automotive,5,32.43,162.17,USA
5992,406,2024-02-11,Toys,1,127.8,127.8,Canada
6130,438,2024-02-11,Beauty,1,167.78,167.78,USA
5726,365,2024-02-11,Food & Beverage,5,32.69,163.45,UK
5768,371,2024-02-11,Automotive,1,81.69,81.69,USA
6192,460,2024-02-12,Toys,3,90.82,272.47,USA
5707,362,2024-02-13,Books,2,51.06,102.13,UK
6042,416,2024-02-14,Health,5,2.82,14.12,Canada
5897,391,2024-02-14,Food & Beverage,1,83.1,83.1,Germany
6175,452,2024-02-14,Electronics,2,14.23,28.47,UK
6252,480,2024-02-15,Beauty,3,60.68,182.04,USA
6010,410,2024-02-15,Food & Beverage,4,12.58,50.33,UK
5996,407,2024-02-16,Clothing,3,23.72,71.15,UK
5491,328,2024-02-16,Beauty,4,23.53,94.1,Canada
6096,427,2024-02-17,Toys,3,30.73,92.2,USA
6208,464,2024-02-17,Health,3,80.09,240.28,Canada
6228,472,2024-02-17,Food & Beverage,5,53.91,269.56,UK
5633,350,2024-02-18,Sports,1,54.03,54.03,France
6171,451,2024-02-18,Electronics,5,7.25,36.27,USA
5902,393,2024-02-18,Food & Beverage,1,117.14,117.14,USA
5848,383,2024-02-19,Health,5,4.06,20.29,USA
5589,343,2024-02-19,Beauty,2,50.9,101.79,Canada
6290,491,2024-02-19,Health,1,132.55,132.55,Germany
5981,404,2024-02-19,Beauty,2,25.37,50.75,USA
5475,326,2024-02-19,Home & Garden,2,45.13,90.26,Germany
5939,398,2024-02-19,Clothing,3,13.34,40.03,USA
5735,366,2024-02-19,Sports,3,11.66,34.98,UK
5620,348,2024-02-20,Home & Garden,2,79.69,159.37,Canada
6220,469,2024-02-20,Electronics,4,20.83,83.32,USA
5535,335,2024-02-20,Automotive,2,43.06,86.11,USA
5862,385,2024-02-20,Beauty,1,147.31,147.31,USA
6300,496,2024-02-20,Food & Beverage,5,44.77,223.83,USA
5596,344,2024-02-21,Clothing,2,49.91,99.82,France
6191,460,2024-02-21,Home & Garden,5,28.02,140.09,USA
6198,461,2024-02-21,Toys,4,10.04,40.16,USA
5697,361,2024-02-22,Automotive,5,11.05,55.27,USA
6075,422,2024-02-22,Clothing,5,32.88,164.4,UK
6139,441,2024-02-22,Beauty,1,172.9,172.9,Canada
6203,462,2024-02-23,Health,1,136.55,136.55,USA
6311,500,2024-02-23,Toys,4,74.18,296.74,UK
5890,390,2024-02-23,Sports,4,10.32,41.28,Canada
6120,435,2024-02-23,Automotive,5,11.81,59.05,USA
5943,398,2024-02-23,Electronics,1,115.83,115.83,UK
6132,439,2024-02-24,Sports,4,63.71,254.85,France
6306,497,2024-02-25,Toys,2,101.25,202.5,France
5760,370,2024-02-25,Books,4,4.91,19.63,Canada
5577,341,2024-02-25,Food & Beverage,1,41.43,41.43,USA
5653,354,2024-02-25,Beauty,5,6.94,34.68,USA
5859,385,2024-02-25,Health,2,12.87,25.74,USA
5531,334,2024-02-25,Toys,1,42.04,42.04,UK
6149,444,2024-02-25,Beauty,2,23.1,46.21,USA
6222,469,2024-02-26,Sports,2,61.74,123.48,USA
6168,450,2024-02-26,Automotive,1,19.82,19.82,USA
6209,464,2024-02-26,Books,5,19.06,95.28,UK
5674,357,2024-02-26,Automotive,1,40.93,40.93,UK
6072,421,2024-02-27,Beauty,3,19.97,59.91,USA
5557,339,2024-02-27,Automotive,4,21.6,86.39,Canada
5676,357,2024-02-27,Clothing,4,37.12,148.48,USA
5681,358,2024-02-28,Home & Garden,3,10.47,31.4,USA
6058,419,2024-02-28,Books,4,18.98,75.93,UK
5542,336,2024-02-29,Books,1,95.03,95.03,Canada
5973,404,2024-02-29,Books,4,7.21,28.85,UK
6104,429,2024-02-29,Home & Garden,5,11.27,56.35,USA
6205,463,2024-02-29,Beauty,5,19.9,99.5,UK
5654,354,2024-02-29,Health,5,11.7,58.52,USA
5778,372,2024-03-01,Automotive,4,26.33,105.31,USA
6045,417,2024-03-01,Toys,3,46.05,138.16,France
5987,406,2024-03-01,Health,5,26.99,134.93,UK
5658,355,2024-03-01,Beauty,4,14.65,58.61,Canada
6221,469,2024-03-01,Toys,5,40.01,200.03,USA
6236,474,2024-03-01,Toys,4,45.17,180.68,Canada
6296,494,2024-03-01,Clothing,4,48.95,195.82,Germany
6110,431,2024-03-02,Electronics,3,82.25,246.76,USA
5788,374,2024-03-02,Food & Beverage,2,17.33,34.67,France
6239,475,2024-03-02,Sports,2,57.43,114.86,USA
5611,347,2024-03-02,Toys,3,25.85,77.56,USA
5599,345,2024-03-02,Automotive,4,14.15,56.59,Germany
5604,346,2024-03-02,Clothing,5,20.97,104.85,Canada
5476,326,2024-03-03,Food & Beverage,2,8.78,17.56,UK
6295,493,2024-03-03,Home & Garden,5,11.04,55.18,USA
5915,395,2024-03-03,Food & Beverage,3,33.81,101.43,USA
6159,447,2024-03-03,Books,3,74.98,224.93,Germany
5505,331,2024-03-04,Sports,3,17.52,52.56,Germany
6105,429,2024-03-04,Food & Beverage,4,17.44,69.75,USA
6140,441,2024-03-05,Beauty,4,16.2,64.8,UK
5499,330,2024-03-05,Automotive,4,17.97,71.89,UK
6257,482,2024-03-06,Clothing,1,17.79,17.79,UK
5566,340,2024-03-06,Toys,3,13.08,39.25,Canada
5937,398,2024-03-06,Automotive,2,68.69,137.39,UK
5701,361,2024-03-07,Beauty,4,26.52,106.09,USA
6194,460,2024-03-07,Home & Garden,1,240.76,240.76,USA
5971,403,2024-03-07,Electronics,3,10.98,32.93,UK
5646,353,2024-03-08,Automotive,2,9.69,19.39,Canada
6128,438,2024-03-08,Clothing,3,64.96,194.87,Germany
5837,382,2024-03-09,Food & Beverage,3,37.09,111.27,USA
5520,333,2024-03-09,Books,2,67.97,135.94,Germany
